Replay_Filename,Winner_Name,Player1.OpeningStrategy.FeudalTime,Player1.OpeningStrategy.Villagers,Player1.OpeningStrategy.DarkAgeLoom,Player1.OpeningStrategy.OpeningStrategy,Player1.OpeningStrategy.FirstBarracksTime,Player1.OpeningStrategy.MilitiaStrategyIdentified,Player1.OpeningStrategy.NumberOfMilitiaUnits,Player1.OpeningStrategy.PreMillBarracks,Player1.OpeningStrategy.OpeningMilitaryBuildingTime,Player1.OpeningStrategy.OpeningMilitaryBuilding,Player1.OpeningStrategy.Scout Cavalry,Player1.OpeningStrategy.Skirmisher,Player1.OpeningStrategy.Archer,Player1.OpeningStrategy.Spearman,Player1.OpeningStrategy.DoubleBitAxe,Player1.OpeningStrategy.HorseCollar,Player1.OpeningStrategy.Wheelbarrow,Player1.OpeningStrategy.NumberFeudalFarms,Player1.OpeningStrategy.TimeThreeFarms,Player1.OpeningStrategy.TimeSixFarms,Player1.OpeningStrategy.TimeTenFarms,Player1.OpeningStrategy.TimeFifteenFarms,Player1.OpeningStrategy.TimeTwentyFarms,Player1.OpeningStrategy.DarkAgeWallsNumber,Player1.OpeningStrategy.FeudalWallsNumber,Player1.OpeningStrategy.PostCastleWalls,Player1.OpeningStrategy.FeudalHousesBuilt,Player1.MapAndCiv.Civilisation,Player1.MapAndCiv.StartingLocation,Player2.OpeningStrategy.FeudalTime,Player2.OpeningStrategy.Villagers,Player2.OpeningStrategy.DarkAgeLoom,Player2.OpeningStrategy.OpeningStrategy,Player2.OpeningStrategy.FirstBarracksTime,Player2.OpeningStrategy.MilitiaStrategyIdentified,Player2.OpeningStrategy.NumberOfMilitiaUnits,Player2.OpeningStrategy.PreMillBarracks,Player2.OpeningStrategy.OpeningMilitaryBuildingTime,Player2.OpeningStrategy.OpeningMilitaryBuilding,Player2.OpeningStrategy.Scout Cavalry,Player2.OpeningStrategy.Skirmisher,Player2.OpeningStrategy.Archer,Player2.OpeningStrategy.Spearman,Player2.OpeningStrategy.DoubleBitAxe,Player2.OpeningStrategy.HorseCollar,Player2.OpeningStrategy.Wheelbarrow,Player2.OpeningStrategy.NumberFeudalFarms,Player2.OpeningStrategy.TimeThreeFarms,Player2.OpeningStrategy.TimeSixFarms,Player2.OpeningStrategy.TimeTenFarms,Player2.OpeningStrategy.TimeFifteenFarms,Player2.OpeningStrategy.TimeTwentyFarms,Player2.OpeningStrategy.DarkAgeWallsNumber,Player2.OpeningStrategy.FeudalWallsNumber,Player2.OpeningStrategy.PostCastleWalls,Player2.OpeningStrategy.FeudalHousesBuilt,Player2.MapAndCiv.Civilisation,Player2.MapAndCiv.StartingLocation,DistanceBetweenPlayers,DifferenceInELO,Player1.MainGold,Player1.ThirdGold,Player1.SecondGold,Player1.Berries,Player1.Stone,Player1.Front,Player1.Side,Player1.Back,Player2.MainGold,Player2.ThirdGold,Player2.SecondGold,Player2.Berries,Player2.Stone,Player2.Front,Player2.Side,Player2.Back
Barles_vs_TAG_Mihai06_G1.aoe2record,_Barles_,0 days 00:11:47.980000,26,False,Fastle Castle,,,0,False,0 days 00:11:47.980000,Towers/Barracks/FC,0,0,0,0,0 days 00:13:24.355000,0 days 00:20:38.702000,0 days 00:27:22.980000,0,,,,,,0,0,0,5,Portuguese,"(98.0, 12.0)",0 days 00:11:02.272000,24,False,Fastle Castle,,,0,False,0 days 00:11:02.272000,Towers/Barracks/FC,0,0,0,0,0 days 00:12:42.841000,0 days 00:20:58.133000,0 days 00:19:50.728000,0,,,,,,0,0,0,3,Bengalis,"(12.0, 103.0)",125.2078272313676,37,Front,Back,Back,Unknown,Unknown,1,0,6,Back,Back,Back,Unknown,Back,2,0,6
Barles_vs_TAG_Mihai06_G2.aoe2record,TAG_Mihai06,0 days 00:11:47.369000,25,True,Fastle Castle,,,0,False,0 days 00:11:47.369000,Towers/Barracks/FC,0,0,0,0,0 days 00:14:07.549000,,,0,,,,,,7.0,10.0,0.0,9.0,,"(0, 0)",0 days 00:11:08.369000,24,False,Straight Archers,0 days 00:11:29.619000,,0,True,0 days 00:12:21.424000,Archery Range,0,0,16,1,0 days 00:11:35.202000,,,0,,,,,,0,0,0,12,,"(0, 0)",0.0,-37,,,,,,,,,,,,,,,,
Barles_vs_TAG_Mihai06_G3.aoe2record,TAG_Mihai06,0 days 00:09:43.063000,20,True,Could not Identify!,0 days 00:10:05.022000,,0,True,0 days 00:10:59.147000,Stable,0,0,0,4,0 days 00:10:16.383000,0 days 00:24:22.688000,0 days 00:42:05.936000,8,0 days 00:14:28.619000,0 days 00:17:58.147000,,,,8.0,13.0,2.0,16.0,Mongols,"(32.0, 75.0)",0 days 00:09:37.577000,19,True,Could not Identify!,0 days 00:09:37.202000,,0,True,0 days 00:10:35.188000,Stable,0,0,0,4,0 days 00:10:49.702000,0 days 00:24:55.994000,0 days 00:28:01.605000,0,,,,,,0.0,0.0,0.0,8.0,Magyars,"(119.0, 80.0)",87.14355971613737,-37,Front Hill,Back,Back,Back,Back,8,0,23,Back,Unknown,Unknown,Unknown,Back,5,2,20
de-61.5.aoe2record,GL.Hera,0 days 00:08:49.438000,17,True,Could not Identify!,0 days 00:08:47.438000,,0,False,0 days 00:09:33.022000,Stable,0,0,0,0,0 days 00:09:21.133000,0 days 00:09:35.438000,,38,0 days 00:11:17.480000,0 days 00:12:10.702000,0 days 00:14:25.772000,0 days 00:16:21.563000,0 days 00:18:12.258000,0.0,0.0,0.0,13.0,Poles,"(23.0, 76.0)",0 days 00:08:43.549000,18,False,Could not Identify!,0 days 00:08:57.591000,,0,False,0 days 00:09:29.369000,Stable,0,0,0,0,0 days 00:09:34.744000,0 days 00:11:18.008000,0 days 00:24:53.508000,34,0 days 00:10:43.355000,0 days 00:11:42.674000,0 days 00:12:56.716000,0 days 00:15:33.424000,0 days 00:19:22.744000,0.0,0.0,0.0,16.0,Sicilians,"(81.0, 26.0)",76.57675887630658,53,Front,Back,Back,Back,Back,0,1,2,Back,Unknown,Back,Unknown,Back,0,2,4
de-62.0.aoe2record,Mars_zZ,0 days 00:09:17.171000,19,True,Could not Identify!,0 days 00:07:06.357000,,0,True,0 days 00:10:58.714000,Archery Range,0,0,0,0,0 days 00:16:33.670000,0 days 00:10:33.797000,,11,0 days 00:11:29.904000,0 days 00:15:02.927000,0 days 00:16:55.556000,,,0.0,27.0,0.0,5.0,Celts,"(61.0, 19.0)",0 days 00:08:30.621000,17,True,Could not Identify!,0 days 00:08:21.972000,,0,True,0 days 00:09:13.458000,Archery Range,0,0,0,0,,,,0,,,,,,0.0,0.0,0.0,10.0,Ethiopians,"(86.0, 89.0)",74.33034373659252,28,Front,Back,Unknown,Back,Back,1,2,4,Front,Back,Back,Unknown,Back,0,2,4
de-63.0.aoe2record,Original AI,0 days 00:13:16.584000,28,True,Fastle Castle,,,0,False,0 days 00:13:16.584000,Towers/Barracks/FC,0,0,0,0,0 days 00:15:10.465000,,,0,,,,,,0,0,0,1,Maya,"(93.0, 21.0)",0 days 00:10:22.621000,21,True,Could not Identify!,0 days 00:15:42.651000,,0,False,0 days 00:10:22.621000,Towers/Barracks/FC,0,0,0,0,0 days 00:16:45.206000,,,4,0 days 00:13:07.724000,,,,,0,0,0,2,Aztecs,"(84.0, 146.0)",125.32358118087753,-237,Back,Back,Unknown,Unknown,Back,0,0,6,Front,Unknown,Unknown,Unknown,Back,1,0,3
de-64.3.aoe2record,Beargwyn,0 days 00:10:25.924000,21,True,Could not Identify!,0 days 00:10:17.827000,,0,False,0 days 00:12:05.883000,Stable,0,0,0,0,0 days 00:11:14.272000,0 days 00:11:07.647000,0 days 00:24:21.619000,20,0 days 00:12:22.480000,0 days 00:12:55.994000,0 days 00:13:51.452000,0 days 00:20:56.605000,0 days 00:21:32.758000,0.0,0.0,0.0,4.0,Byzantines,"(37.0, 98.0)",0 days 00:10:20.633000,21,True,Could not Identify!,0 days 00:10:48.897000,,0,True,0 days 00:13:56.091000,Archery Range,0,0,0,0,0 days 00:10:54.174000,0 days 00:14:02.744000,0 days 00:28:32.883000,13,0 days 00:14:56.049000,0 days 00:16:00.022000,0 days 00:18:35.633000,,,0.0,0.0,0.0,8.0,Aztecs,"(92.0, 29.0)",88.23831367382311,-90,Back,Back,Back,Unknown,Back,4,0,13,Front Hill,Unknown,Unknown,Unknown,Back,4,0,11
de-66.3.aoe2record,GL.Hera,0 days 00:09:33.451666670,21,True,Scouts into archers,0 days 00:08:46.216000,,0,False,0 days 00:10:19.549000,Stable,0,0,13,4,0 days 00:10:13.341000,0 days 00:10:27.035000,0 days 00:34:16.025000,15,0 days 00:11:18.299000,0 days 00:11:57.702000,0 days 00:14:28.918000,0 days 00:17:19.886000,,5.0,37.0,0.0,9.0,Malay,"(93.0, 71.0)",0 days 00:09:08.743000,19,False,Scouts into skirms,,,0,False,0 days 00:10:04.924000,Stable,0,4,0,0,0 days 00:09:55.271000,0 days 00:10:00.632000,0 days 00:29:11.607000,17,0 days 00:09:59.396000,0 days 00:11:07.327000,0 days 00:12:07.043000,0 days 00:14:43.446000,,0.0,17.0,0.0,5.0,Khmer,"(22.0, 33.0)",80.52949770115296,53,Front,Unknown,Back,Unknown,Back,1,1,7,Front,Back,Unknown,Back,Back,2,0,5
de-66.6.aoe2record,_LY_抖音肥龙,0 days 00:11:38.883000,25,False,Fastle Castle,0 days 00:11:02.147000,,0,False,0 days 00:12:17.424000,Stable,0,0,0,0,0 days 00:03:57.966000,0 days 00:06:56.591000,0 days 00:21:06.619000,3,0 days 00:13:48.605000,,,,,0.0,0.0,0.0,1.0,Burgundians,"(94.0, 90.0)",0 days 00:10:32.424000,23,False,Could not Identify!,,,0,False,0 days 00:10:32.424000,Towers/Barracks/FC,0,0,0,0,0 days 00:12:26.438000,,0 days 00:25:05.883000,0,,,,,,0.0,0.0,0.0,0.0,Turks,"(14.0, 65.0)",83.81527307120105,494,Front,Back,Back,Unknown,Unknown,0,0,3,Back,Unknown,Back,Unknown,Back,0,1,1
Hearttt_vs_Nicov_G2.aoe2record,Hearttt,0 days 00:09:19.091000,19,True,Could not Identify!,0 days 00:07:34.105000,Pre-Mill Drush,3,True,0 days 00:09:19.091000,Towers/Barracks/FC,0,0,0,0,0 days 00:10:07.452000,0 days 00:25:31.349000,0 days 00:31:55.654000,0,,,,,,0.0,0.0,0.0,6.0,Wu,"(25.0, 43.0)",0 days 00:10:17.188000,21,True,Could not Identify!,,,0,False,0 days 00:10:17.188000,Towers/Barracks/FC,0,0,0,0,0 days 00:14:14.452000,0 days 00:26:15.224000,0 days 00:25:00.624000,0,,,,,,3.0,0.0,0.0,4.0,Georgians,"(85.0, 88.0)",75.0,35,Back,Unknown,Back,Back,Back,1,0,3,Front,Back,Unknown,Unknown,Back,0,1,4
