Generacja,Bot_ID,Punkty,town_size,wood_percent,gold_percent,stone_percent,feudal_vills,castle_vills,boar_hunting,boar_hunters,max_lumber_camps,max_mining_camps,build_market,build_blacksmith,build_archery,build_stable,build_tower,militia_count,archer_count,skirm_count,scout_count,attack_percent,tech_loom,tech_wheelbarrow,tech_double_axe,tech_horse_collar,tech_gold_mining,tech_fletching,tech_padded_archer,tech_forging,tech_scale_mail,tech_bloodlines
1,2,3155,55,40,9,5,18,41,1,5,2,3,0,0,1,1,0,7,15,7,6,53,0,0,0,1,1,0,0,0,0,1
1,3,2956,42,42,16,3,25,44,1,5,2,2,1,1,0,1,0,4,13,9,1,63,1,1,0,0,0,0,0,0,0,1
1,8,2927,42,33,13,5,19,40,0,7,2,3,1,1,0,1,1,6,12,6,0,64,1,1,1,0,0,0,1,1,0,1
1,5,2904,53,47,8,5,26,35,0,5,2,1,1,0,1,1,0,1,4,6,5,70,0,1,0,1,1,1,1,0,1,0
1,4,2895,34,36,4,2,24,41,1,6,3,2,1,1,1,0,0,3,7,10,6,84,0,0,1,1,0,1,1,0,0,1
1,1,2836,53,27,1,7,21,48,0,5,3,1,0,0,0,0,0,2,4,1,4,84,1,0,1,1,0,1,1,1,1,0
1,6,2836,35,42,16,1,23,34,1,4,1,3,0,0,0,1,0,6,10,0,6,81,1,1,0,0,1,1,0,0,1,1
1,7,2568,48,38,4,5,20,50,0,4,1,2,1,1,1,1,0,8,6,8,3,100,0,1,0,0,0,0,0,0,0,1
2,7,3490,55,40,9,5,18,41,1,5,2,3,0,1,1,1,0,7,15,6,6,53,0,0,0,1,1,0,0,0,0,1
2,3,3148,55,47,8,5,26,35,1,5,2,3,1,0,1,1,0,1,4,6,6,53,1,1,0,1,1,0,1,0,0,0
2,4,3065,42,33,13,11,22,44,1,5,2,2,1,1,0,1,1,4,12,9,1,64,1,1,1,0,0,0,1,0,0,1
2,1,3032,55,40,9,3,25,41,1,5,2,2,0,1,1,1,0,7,10,9,1,63,0,0,0,1,0,1,0,0,0,1
2,2,2915,42,33,13,5,18,41,0,5,2,3,1,1,0,1,1,6,15,6,0,53,0,1,0,1,0,0,1,1,0,1
2,8,2914,42,42,23,3,25,44,1,2,2,2,0,1,0,1,0,4,13,9,1,63,1,0,0,0,0,0,0,0,0,1
2,5,2764,53,47,16,3,26,35,1,5,2,1,1,0,0,1,0,4,4,9,1,70,1,1,0,0,0,0,0,0,1,1
2,6,2721,53,47,13,5,26,40,0,5,2,1,1,1,1,1,1,6,4,6,0,70,0,1,0,1,0,0,1,1,1,0
3,7,3733,55,40,9,5,18,41,1,5,2,3,0,1,1,1,0,7,15,6,6,53,0,1,0,1,1,0,1,0,0,1
3,6,3328,55,40,9,3,25,41,1,5,2,2,0,1,1,1,1,4,10,9,1,64,1,0,0,1,0,0,1,0,0,1
3,5,3074,55,40,9,5,25,41,1,5,2,2,0,0,1,1,0,0,10,6,1,63,1,0,0,1,1,1,0,0,0,0
3,8,2915,55,47,8,5,26,35,1,5,2,3,1,0,1,1,0,1,4,6,6,53,1,1,0,1,0,0,1,0,0,0
3,4,2817,42,40,3,5,22,44,0,5,2,2,1,1,0,1,0,0,4,6,1,64,1,1,0,0,0,0,1,0,1,0
3,3,2648,55,40,9,3,18,41,1,5,2,3,0,1,1,1,0,7,15,12,0,63,0,0,0,1,0,1,0,0,0,1
3,2,2627,55,33,13,11,22,44,1,5,2,3,0,1,1,1,0,7,12,9,1,64,1,0,1,0,0,0,1,0,0,1
3,1,2131,55,47,9,5,18,43,1,5,2,3,0,0,1,1,0,5,15,6,6,53,0,0,0,1,1,0,1,0,0,1
4,6,8170,55,40,9,5,25,41,1,8,2,2,0,0,1,1,0,0,4,6,6,53,1,0,0,1,1,1,1,0,0,0
4,4,3160,55,40,9,6,25,41,1,5,2,2,0,1,1,0,0,0,10,6,1,63,1,0,1,1,0,1,0,1,1,1
4,8,2934,55,40,9,3,25,41,1,5,2,2,0,1,1,1,1,4,10,9,4,64,1,0,0,0,0,0,1,0,0,1
4,1,2921,55,41,9,5,27,41,1,5,2,2,0,0,1,1,1,7,10,6,6,64,0,1,0,1,1,0,1,1,0,1
4,5,2814,55,40,8,5,26,35,1,5,2,2,1,0,1,1,1,4,4,9,1,53,1,0,0,1,0,0,1,0,0,1
4,7,2803,55,40,9,5,18,41,1,5,2,3,0,1,1,1,0,7,15,6,6,53,0,1,0,1,1,0,1,0,0,1
4,2,2721,55,40,3,0,26,44,1,5,2,2,0,0,1,1,0,7,15,6,6,63,0,0,0,1,1,1,1,0,0,0
4,3,2638,56,40,16,5,26,35,1,5,2,3,1,0,1,1,0,7,15,6,6,53,1,1,0,1,0,0,0,1,0,1
5,5,8472,55,41,9,5,27,41,1,5,2,2,0,1,1,0,0,7,10,6,1,64,1,1,1,0,0,0,1,1,1,0
5,3,3382,55,40,3,5,27,41,1,5,2,2,0,0,1,1,0,7,4,6,6,53,0,1,1,1,1,1,1,1,0,0
5,7,3095,55,40,9,5,25,41,1,8,2,2,0,0,1,1,0,0,4,6,6,53,1,0,1,1,1,1,1,0,0,0
5,2,3081,55,40,9,5,25,41,1,5,2,2,0,1,1,1,0,4,10,6,4,64,1,0,0,0,1,0,1,0,0,0
5,8,2885,54,40,9,6,25,41,1,5,2,2,0,1,1,0,1,2,10,6,1,63,1,0,1,1,0,1,0,1,1,1
5,4,2865,55,40,9,6,26,41,1,5,2,2,0,1,1,0,1,0,10,6,4,64,1,0,1,1,0,0,0,1,0,1
5,1,2734,55,49,9,5,25,41,0,8,2,2,0,0,1,1,1,0,10,6,6,53,1,0,1,0,0,1,0,1,0,0
5,6,2556,55,40,9,5,25,41,1,5,2,2,0,1,0,1,0,7,10,5,6,64,0,1,0,0,1,0,1,1,0,1
6,6,8287,55,40,9,5,25,41,1,8,2,2,0,1,0,1,0,4,10,6,4,53,1,0,0,0,1,1,1,0,0,0
6,4,3215,55,40,9,5,27,41,1,2,2,2,1,0,1,1,0,0,6,6,6,53,1,1,1,1,1,1,0,0,1,0
6,7,3192,55,41,9,5,27,41,0,5,2,2,0,1,1,0,0,7,10,4,1,62,1,1,1,0,0,0,1,1,1,0
6,1,3115,55,41,9,5,27,41,1,5,2,2,0,1,1,0,1,7,10,6,3,53,1,1,1,1,0,0,1,1,1,0
6,3,2998,55,41,9,5,25,41,1,5,2,2,0,1,1,1,0,7,10,6,1,64,1,1,0,1,0,0,1,1,0,0
6,5,2885,55,40,9,5,28,41,1,5,2,2,0,1,1,0,1,7,8,6,6,64,0,0,1,0,1,0,1,0,1,0
6,2,2884,55,41,9,5,25,41,1,8,2,2,0,1,1,1,0,0,10,6,1,53,0,0,1,0,0,0,1,0,1,0
6,8,2786,55,40,3,13,27,41,1,5,2,2,0,0,1,1,0,7,4,6,6,53,1,0,1,1,1,1,1,1,0,0
7,2,3431,55,41,9,5,25,41,1,8,2,2,0,1,1,1,0,7,8,6,1,48,1,0,0,0,0,0,1,1,1,0
7,7,3314,55,40,9,5,25,41,1,8,2,2,0,1,0,1,0,4,10,6,4,53,1,0,0,0,0,1,1,0,0,0
7,3,3200,56,40,9,5,25,41,1,5,2,2,0,1,1,0,1,7,10,6,4,53,1,0,0,1,0,1,1,0,1,0
7,5,3062,55,41,9,5,27,41,1,2,2,2,1,0,1,1,0,7,10,5,6,53,1,1,1,0,0,0,1,1,1,1
7,8,3032,55,40,9,5,27,41,1,0,2,2,1,0,1,0,0,0,6,4,6,53,1,1,1,1,1,1,0,0,1,0
7,4,2956,55,40,9,5,27,41,1,5,2,2,1,0,1,1,0,7,6,6,1,53,1,1,1,1,0,1,0,0,1,0
7,6,2781,55,41,9,5,27,44,1,5,2,2,0,1,1,0,1,7,10,4,3,53,1,1,1,0,0,0,1,1,1,0
7,1,2678,55,40,11,5,27,41,1,2,2,2,0,1,1,1,0,4,6,6,4,53,1,1,0,0,1,0,0,0,0,0
8,3,3266,55,41,9,5,27,41,1,2,2,2,1,1,1,1,1,10,10,5,1,53,1,1,1,1,0,0,1,1,1,0
8,2,3097,56,40,9,5,25,41,1,8,2,2,0,1,1,0,1,7,8,6,4,53,1,0,0,0,0,1,1,1,1,0
8,5,3011,56,40,9,0,27,41,1,2,2,2,0,1,1,1,0,7,10,5,6,53,1,0,0,0,0,1,1,0,0,0
8,1,3005,55,40,9,5,25,39,1,8,2,2,0,1,0,1,0,4,10,6,4,53,1,0,0,0,0,0,1,1,0,0
8,4,2918,56,40,9,5,25,41,1,5,2,2,1,1,0,0,0,4,10,6,7,42,1,0,0,1,0,1,1,0,1,0
8,7,2838,55,41,9,5,25,41,1,8,2,2,0,1,1,1,0,7,8,6,1,48,1,0,0,0,0,0,0,1,1,0
8,8,2745,55,40,9,9,25,41,1,8,2,2,0,0,0,1,0,4,8,6,4,53,1,0,0,0,0,1,1,1,0,0
8,6,2299,56,40,9,5,25,41,1,5,2,2,0,0,1,1,0,7,10,6,6,53,1,1,0,0,0,0,1,0,1,1
9,6,8282,55,40,9,0,25,41,1,8,2,2,1,1,0,1,1,7,10,6,4,53,1,0,0,0,0,1,1,0,0,0
9,3,3359,55,41,9,5,27,41,1,2,2,2,1,1,1,1,0,10,10,5,4,53,1,1,0,1,0,0,1,1,1,0
9,8,3277,59,40,9,1,25,41,1,8,2,2,0,0,1,0,1,10,8,6,4,53,1,0,0,0,0,1,1,1,1,0
9,7,3232,55,41,9,5,27,41,1,2,2,2,1,1,1,1,1,10,10,5,1,53,1,1,1,1,0,0,1,0,1,0
9,2,3174,56,41,9,5,27,41,1,0,2,2,0,1,1,1,0,7,10,5,1,53,0,1,1,1,0,1,1,0,0,0
9,1,2817,55,34,9,5,25,41,1,2,2,2,0,1,1,1,1,7,8,5,4,53,0,1,1,1,0,0,0,1,1,0
9,5,2729,55,42,9,5,25,41,1,8,2,2,0,1,1,1,1,4,8,6,4,53,1,0,0,0,0,0,1,1,1,0
9,4,2628,56,40,9,5,27,41,1,2,2,2,0,1,1,0,0,7,10,6,4,53,1,1,0,0,0,0,1,0,0,0
10,7,63168,55,40,9,0,25,41,1,8,2,2,1,1,0,1,1,7,10,6,4,67,1,0,0,0,0,1,1,0,0,0
10,1,3137,55,41,9,5,27,41,1,8,2,2,1,1,0,1,0,7,10,5,4,53,1,0,0,1,0,0,1,0,0,0
10,2,3051,55,40,9,0,25,41,1,8,2,2,0,1,0,1,0,7,10,6,4,53,1,0,0,0,0,0,1,0,0,0
10,5,3018,55,41,9,5,27,41,1,2,2,2,1,0,1,1,0,10,10,5,4,53,1,1,1,1,0,0,1,0,1,0
10,3,3009,55,40,9,5,27,41,1,8,2,2,1,1,1,1,1,10,10,6,4,53,1,1,0,0,0,1,1,0,0,0
10,8,2781,55,41,9,5,27,41,0,2,2,2,1,0,1,1,0,10,10,5,4,53,1,1,0,1,0,0,1,1,1,0
10,6,2434,59,41,9,5,27,41,1,1,2,2,1,0,1,1,1,10,8,5,1,53,1,0,0,0,0,0,1,0,1,0
10,4,2426,59,41,9,9,25,41,1,2,2,2,1,1,1,1,0,10,8,5,2,53,1,1,0,0,0,0,1,1,1,0
11,6,8201,55,40,9,5,27,41,1,8,2,2,0,0,0,1,0,7,10,6,4,53,1,0,0,1,0,0,1,0,1,0
11,2,2953,55,40,9,0,25,41,1,8,2,2,1,1,0,1,0,7,10,6,4,67,1,1,0,0,0,1,1,0,0,0
11,8,2952,55,41,8,5,27,41,1,8,2,2,1,1,0,1,0,7,10,5,4,53,1,0,0,1,0,0,1,0,0,0
11,3,2935,55,40,9,0,25,41,1,8,2,2,1,0,1,1,1,10,10,6,4,67,1,1,0,1,1,1,1,0,1,1
11,7,2892,55,40,9,0,25,41,1,8,2,2,1,1,0,1,0,7,10,6,4,67,1,0,0,0,0,1,1,0,0,0
11,4,2861,55,41,9,0,27,41,0,8,2,2,0,1,0,1,1,7,8,5,4,53,1,0,0,0,0,0,1,0,0,0
11,1,2662,55,40,9,5,24,41,1,8,2,2,1,1,0,1,1,7,10,5,4,67,1,0,0,0,1,0,1,0,0,0
11,5,2655,55,41,9,5,27,41,1,2,2,2,1,1,0,1,0,7,10,5,2,53,1,1,0,1,1,0,1,0,1,0
12,5,3458,55,40,9,0,25,41,1,8,2,2,0,0,0,1,0,7,10,6,4,67,1,1,0,0,1,1,1,0,0,1
12,2,3204,55,41,8,5,27,41,1,8,2,2,1,0,0,1,0,7,10,5,4,53,1,0,0,1,0,0,1,0,1,0
12,7,3154,55,40,9,5,27,41,1,8,2,2,0,0,0,1,0,7,10,6,4,53,1,0,0,1,1,0,1,0,1,0
12,4,3052,55,40,9,0,27,41,1,8,2,2,1,1,0,1,0,7,10,6,4,53,1,1,0,1,0,1,1,0,0,0
12,1,2858,55,40,9,5,27,40,1,8,2,2,1,1,0,1,0,7,10,5,4,67,1,1,0,0,0,1,1,0,0,0
12,6,2837,55,40,9,5,27,41,1,8,2,2,1,0,0,1,0,7,10,5,4,67,1,0,0,1,0,0,1,0,0,0
12,3,2695,55,40,9,0,25,38,1,8,2,2,0,0,1,1,1,10,11,6,4,67,1,0,0,1,0,0,1,0,1,1
