Generacja,Bot_ID,Punkty,town_size,wood_percent,gold_percent,stone_percent,feudal_vills,castle_vills,boar_hunting,boar_hunters,max_lumber_camps,max_mining_camps,build_market,build_blacksmith,build_archery,build_stable,build_tower,build_palisade,build_siege,militia_count,archer_count,skirm_count,scout_count,spearman_count,knight_count,ram_count,attack_group_size,target_eco,attack_percent,min_attack_group,army_size_with_siege,army_size_no_siege,tech_loom,tech_wheelbarrow,tech_double_axe,tech_horse_collar,tech_gold_mining,tech_fletching,tech_padded_archer,tech_forging,tech_scale_mail,tech_bloodlines
1,1,1458,17,38,10,2,21,40,0,6,3,1,0,0,1,1,1,0,1,6,16,12,7,10,11,3,13,2,100,15,20,40,1,0,1,0,1,1,1,1,0,0
1,3,1164,13,46,11,2,20,41,0,6,3,1,1,1,1,1,0,0,1,6,16,12,7,10,8,3,20,1,100,15,20,40,0,1,1,1,0,1,1,0,1,0
1,4,1126,17,38,10,4,20,40,1,7,3,2,1,1,1,1,0,0,0,6,13,15,7,7,14,3,13,0,100,15,20,40,1,1,0,0,0,0,1,1,0,0
1,6,884,17,46,10,2,20,41,0,6,3,1,0,1,1,1,0,0,0,6,13,8,7,10,13,3,20,3,100,15,20,40,1,1,0,1,0,1,1,0,1,0
1,7,812,14,38,11,2,20,41,0,6,3,2,0,1,1,1,0,1,1,6,16,12,7,10,8,3,13,0,100,15,20,40,0,1,0,1,1,1,1,0,1,0
1,5,764,17,47,10,2,20,41,0,7,3,1,1,0,1,1,0,1,1,9,16,15,7,7,11,3,13,4,100,15,20,40,1,0,0,1,0,1,1,0,0,0
1,2,300,14,38,11,2,20,42,0,6,3,2,0,0,1,1,0,1,1,6,16,15,7,10,14,3,20,0,100,15,20,40,1,0,1,1,1,1,1,0,0,1
1,8,196,24,48,4,5,25,38,0,6,2,2,0,0,1,0,1,1,1,1,0,8,10,10,2,4,18,1,70,15,20,40,1,0,0,0,0,1,0,0,1,1
2,2,620,17,46,10,2,21,41,0,6,3,1,1,1,1,1,1,0,1,5,16,14,7,10,11,3,20,2,100,15,20,40,1,0,1,0,0,1,1,1,1,0
2,5,584,13,46,11,2,20,40,0,6,3,1,0,1,1,1,0,0,1,6,13,15,7,10,14,3,13,0,100,15,20,40,1,1,0,0,0,1,1,1,1,0
